Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
JavaScript QA Engineer w/AWS (Remote),$50K-$91K (Glassdoor est.),"QA ENGINEER (REMOTE)

Please note: Unable to sponsor now, Unable to sponsor in the future, no c2c, no third-party, no recruiters, no agencies, this is not an entry-level position. This position is 100% remote but must live in the United States.

QA Engineer needed for a Technology Innovation and Product-Driven Mortgage Origination Digital Services Organization. The company is built on stability and consistent growth with opportunities for advancement in one of the strongest, most resilient industries due for a technology overhaul

OVERALL RESPONSIBILITIES:

The QA Engineer handles manual and automated testing leading cutting-edge web-based tools and applications.
Write detailed test cases, test design docs, and test plans
Write data-driven tests for validation
Utilize tools for test automation like Watir/Ruby, LoadRunner, Apache JMeter, QTP
Debugging & troubleshooting
Creation and maintenance of Quality Assurance Plans

QUALIFICATIONS:

3+ Years of Relevant Experience in Manual and Automated software testing of web applications
Good experience with Microsoft Office
Proven experience in a highly-Agile environment, good experience with JIRA
JavaScript, Python, Node (Python or JavaScript languages & frameworks)
Experience working in an AWS Environment
Microservices, AWS, Lambda, and Serverless Technologies. Ability to review Log Files, Cloud Validation
Web Services
SQL Server
EDI/XML
Any experience in Financial Services or especially in the MORTGAGE INDUSTRY would be a HUGE plus

Please note: Unable to sponsor now, Unable to sponsor in the future, no c2c, no third-party, no recruiters, no agencies, this is not an entry-level position. This position is 100% remote but must live in the United States.",3.4,"Vaco
3.4","Seattle, WA",,1001 to 5000 Employees,2002,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD),
Full Stack JavaScript Developer,$50K-$91K (Glassdoor est.),"Overview: *Our client is a worldwide online payments system that supports online money transfers and serves as an electronic alternative to traditional paper methods like checks and money orders. In this role, you will be working on our client’s Enterprise Content Management Team. This team is currently leading efforts for a transformation of the ECM platform utilized by internal employees. We are looking for a skilled Full-Stack JavaScript Developer to join the team that has a background in ReactJS and NodeJS. We are hiring for junior, mid-level and senior level candidates.
\*Work from home until further notice. But, must sit in Austin, TX.\*
Required Skills: *
2-7 years of experience in Software Development
2-7 years of experience with modern JavaScript framework such as ReactJS
2-7 years of experience with modern JavaScript framework such as NodeJS
Experience working in a NoSQL database
Experience in service-oriented architecture
Desired Skills: *
Experience with Enterprise Content Management platforms
Experience working in an enterprise level environment
Job Type: Contract

Pay: $30.00 - $65.00 per hour

Benefits:
401(k)
Dental Insurance
Health Insurance
Vision Insurance
Schedule:
8 Hour Shift
Day shift
Monday to Friday
Experience:
ReactJS: 2 years (Required)
NodeJS: 2 years (Required)
JavaScript: 2 years (Required)
NoSQL database: 1 year (Required)
Work authorization:
United States (Required)
Contract Length:
More than 1 year
Full Time Opportunity:
Yes
Benefit Conditions:
Waiting period may apply
Work Remotely:
Temporarily due to COVID-19",3.9,"Insight Global
3.9","Austin, TX",,1001 to 5000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),
Full Stack Developer,$50K-$91K (Glassdoor est.),"Overview

SCCI is looking for a motivated Full Stack Developer. The successful candidate will be working with an existing three-dimensional (3D) data visualization tool while integrating new and existing application programming interfaces (APIs) to create new solutions for cyber, command and control, intelligence, healthcare, logistics and other defense-centric applications. You will work with other programmers and our business development team to actively assist in the pursuit of opportunities that align with our new solutions, and be able to assist in exploring new ways to integrate with other products to increase their potential.

Responsibilities:

Along with our business development team, target opportunities to pursue, implement and develop APIs that integrate with new products
Interact with different departments within the organization regarding new deployments
Contribute to the development of project schedules and workflows
Demonstrate capabilities using developed APIs
Contribute to writing proposals as a technical expert

Essential Skills and Experience:

Must be a U.S. CITIZEN and have the ability to obtain and maintain an Active Secret Security Clearance
3-5 years’ professional experience in application development
Experience with JavaScript, React JS, Node.js, Express.js, and MongoDB
Experience with API Integration
Experience in Web Development
Experience in Database and Systems Architecture

Preferred Skills and Experience:

JS, REST, RapidQL, UI/UX, WebSockets, SVN
Associate or Bachelor’s Degree in Computer Science or Information Systems

SCCI is committed to providing a comprehensive and competitive benefits package to meet the needs of Employees and their families. EOE of Minorities, Females, Veterans, Disabilities.",3.2,"Southeastern Computer Consultants, Inc.
3.2","Austin, TX",,201 to 500 Employees,,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),
Senior Applications Developer,$50K-$91K (Glassdoor est.),"We’re a Little Different

Our mission is clear. We bring to life a healing ministry through our compassionate care and exceptional service.

We don’t believe in jobs at Mercy, we believe in careers that match the unique gifts of unique individuals; careers that not only make the most of your skills and talents, but also your heart.

At Mercy, you’ll feel our supportive community every step of your day, especially the tough ones. We’re a team and love working that way. That team is expanding, and we currently have exceptional opportunities to help our communities grow.

You will help transform Mercy and its digital web presence to deliver an exceptional experience for our patients. You will be involved in all aspects of the development process. This includes design, configure, debug, and evaluate custom web applications. You will be working on Angular web applications with integration into Java based services. You will work in an Agile based development environment working closely with our business partners to create/enhance our digital presence. You may occasionally be involved in non-programming aspects of the development process including definition of user requirements, testing, deployment, documentation, and support.

Responsibilities:

Work with development teams and product managers to ideate software solutions
Design client-side and server-side architecture
Build the front-end of applications through appealing visual design
Develop and manage well-functioning databases and applications
Write effective APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Build features and applications with a mobile responsive design
Write technical documentation

Qualifications:

Because you’re committed to excellence, you understand the importance of being properly prepared for your role at Mercy. That’s why you’ll bring to your role the right set of qualifications:

Education: Bachelor's degree in related field, specialized training, or equivalent work experience Additional Requirements Demonstrates general understanding of full software development life cycle Demonstrates general understanding of code management principles
Experience: Five (5) years of relevant technical or business work experience

Preferred Qualifications

5-7 years of proven experience as a Full Stack Developer or similar role
Experience with developing responsive web applications
Familiarity with common stack
Knowledge of multiple front-end languages and libraries (e.g. HTML5/ CSS, Angular, js, JavaScript, XML)
Knowledge of multiple back-end languages (e.g. Java), frameworks (e.g. Spring, SpringBoot, Hibernate), and web/REST services
Familiarity with databases (e.g. Oracle, MySQL), web servers (e.g. Apache/Tomcat), continuous integration tools (e.g. Git, Jenkins, Nexus, Ansible)
Excellent analysis, communication, and teamwork
Degree in Computer Science or relevant field

We’ll Support You at Work and Home

Our foundations are built on dignity and respect. Modern Healthcare Magazine named us as a “top 100 places to work.” We go out of our way to help people feel welcomed. We offer day-one comprehensive health, vision and dental coverage, PTO, tuition reimbursement and employer-matched retirement funds to benefit-eligible co-workers, including those working 48 hours or more per pay period!

What Makes a Good Match for Mercy

Compassion and professionalism go hand-in-hand with us, along with exceptional quality care. Having a positive outlook and a strong sense of advocacy is in perfect step with our mission and vision. We’re also collaborative and are not afraid to do a little extra to deliver excellent care – that’s just part of our commitment. If that sounds like a fit for you as well, we encourage you to apply.

Mercy has determined this is a safety-sensitive position. The ability to work in a constant state of alertness and in a safe manner is an essential function of this job.",3.4,"Mercy
3.4","Chesterfield, MO",,10000+ Employees,1871,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),
CA Plex Developer,$50K-$91K (Glassdoor est.),"Job Description*
Company is seeking an experienced CA Plex Developer to fill a full time position in New Orleans, LA.

Candidates should have at a minimum, 3 years of experience with CA Plex. Additional background in SQL Server, Web Client and Java development is a plus.
Required Qualifications: *
CA Plex v6.1 or higher
SQL Server and/or DB2/400
Web Services (SOAP, REST, WCF)
One or more of the following: Java, C#, HTML5, Sencha Touch, JavaScript, Mobile
Ability to manage multiple, concurrent projects and priorities.
Familiarity with test practices for unit test and system test.
Experience with and ability to deliver complete documentation for estimates, design and development
Ability to complete impact analysis across multiple platforms and applications integrated into both internal and external applications and processes.
Job Type: Full-time

Experience:
CA Plex Development: 3 years (Preferred)
Location:
New Orleans, LA (Preferred)",,Confidential- Logistics,"New Orleans, LA",,,,,,,,
Web Developer,$50K-$91K (Glassdoor est.),"Albany, NY based advertising agency is seeking a talented and experienced mid to senior level Developer to join our team. Candidate will work in our Albany Office. Creative, driven and a passion for the industry is a must. Candidate must have experience in development.

Candidates must have good communication skills, be able to work in a fast-paced environment, have a positive attitude, great work ethic and be able to meet deadlines. We are looking for an innovative thinker (and team player) with strong conceptual and creative skill as well as an excellent understanding of graphic design, layout and passion for Web.

Responsibilities:
Develop dynamic websites and web applications using the provided designs from our UI team
Work alongside others in maintaining and updating current client websites
Provide input during the scoping and design phases to ensure our end products are user-focused, accessible, reliable and easy-to-use
Use official documentation, reliable online resources/books, and personal experience with emphasis on cross-platform and cross-browser solutions
Stay updated and educated to the development industry
Pay attention to every place where vulnerability can be exploited (Cross-site Scripting, SQL Injection, Brute-Force, Distributed Denial-of-Service, Privilege Escalation and others)
Willing to work the time required to adequately complete tasks in full
Understand the code written, making sure it’s cohesive and efficient
User and server-friendly: Lightweight, responsive, beautiful, clean solutions to every challenge
Program websites and applications thinking about it as a whole
Foresee possible problems, envisioning how the code written now will behave at the end of the project
Project Organization: Folder and file organization, date versioning, individual record keeping
Keep credentials and important details in a safe place and accessible from anywhere
Qualifications: *
3 or more years of work experience preferably in an agency or office setting
Be able to work in our Albany office Full Time
Have an intense passion and strong desire to be successful in the field of web development
Be a fast-paced, work-smart person
Great team player
Strong organizational skills and attention to detail
Hungry for knowledge and willing to learn
Autonomous work ethics
Thorough communication skills
Ability to diagnose and troubleshoot independently first
Detail-oriented – would rather focus on the details of work than the bigger picture
Achievement-oriented –enjoys taking on challenges, even if they might fail
Required Proficiencies:
PHP, MySQL
JavaScript
HTML, CSS, jQuery Libraries
WordPress
WCAG 2.0 Standards
Server and hosting environments
API Integrations
Google Tools (Search Console, Analytics)
DNS Management
Please email cover letter and resume along with salary requirements. No phone calls please.

Job Type: Full-time

Benefits:
Dental insurance
Health insurance
Paid time off
Retirement plan
Schedule:
Monday to Friday
Experience:
Web Development: 3 years (Preferred)
Application Question:
What are your salary requirements?
Work Location:
One location
Company's website:
Brawnmediany.com
Work Remotely:
No",,BrawnMedia,"Albany, NY",,,,,,,,
Backend Developer,$50K-$91K (Glassdoor est.),"Anark* is currently adding another Senior Software Engineer to work on Cloud Full Stack projects with a focus on Backend in Mongo, Node and Cloud Microservices on our product team and is responsible for the development of critical server-side software frameworks and client-side features associated with the Anark Core products. This position works with a team of motivated engineers to plan software releases that adhere to customer requirements within business-acceptable timeframes. The ideal candidate will be an expert at developing highly scalable web applications utilizing the MERN stack, especially Mongo, Node, Kubernetes and Docker containers.
Required Knowledge and Skills*
Experience creating a robust backend using MongoDB, Node.js, ExpressJS, and associated modules. Strong Mongo and Node required for this role.
Experience creating RESTful-based web services.
Experience with Docker containers and Kubernetes.
Experience with cloud technologies such as Azure or AWS.
Bonus Desired Skills, some combination needed; *
Experience in web development using ReactJS or Angular, JavaScript, HTML5, CSS, Bootstrap.
Proficiency in Redis or other fast caching systems.
Proficiency with NGINX or other high-performance HTTP servers.
Exposure to JavaScript testing framework like Mocha.
Experience with continuous integration and version control.
Experience with agile development methodologies.
Capable of managing multiple, concurrent deliverables on aggressive delivery schedules with a conscientious work ethic.
Strong technical and communication skills—capable of garnering the respect of team members and associates within the company.
Experience in RabbitMQ or other messaging platforms.
Responsive web design experience.
Experience with TypeScript.
Experience with WebGL.
Required Education and Professional Experience*
BS in Computer Science (BSCS required) or Masters in Computer Science (MSCS helpful)
5+ years of professional software development experience
Strong exp in Web Dev and specifically with MongoDB and NodeJS
Anark* is a leading provider of intelligent information management (IIM) software and solutions for technical industry, enabling engineering, procurement, manufacturing, and field service organizations to publish and manage technical content, for access and collaboration workflows across the extended enterprise—yielding faster iterations, reduced material waste, and higher-quality products and services with substantial cost savings.
Anark helps market leaders such as GE, Boeing, Lockheed Martin, Allison Transmission, Johnson & Johnson, Cisco, Ericsson, and TE Connectivity with their Digital Transformation, leveraging smart technical content to streamline procurement, manufacturing, and field service operations.
Come work at Anark *and enjoy a cutting-edge, exciting, fun, energetic, friendly, and supportive work environment. Anark Corporation strives to be a “change the world” innovator. US Citizenship or Permanent Resident status required for ITAR Government compliance. Fulltime, long term, great employee situation, no remote, C2C, 3rd parties or contracts available at this time. Visit www.anark.com and https://www.linkedin.com/company/anark/ to learn more about us and how this might be your best career move!
Job Type: Full-time

Pay: $100,000.00 - $140,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Relocation assistance
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Overtime
Supplemental Pay:
Bonus pay
COVID-19 considerations:
We are all healthy and safe working from home now.
https://www.anark.com/2020/04/03/anark-covid-19-update-taking-care-of-our-employees-customers-and-partners/

Ability to Commute/Relocate:
Boulder, CO 80301 (Preferred)
Education:
Bachelor's (Preferred)
Experience:
MongoDB: 3 years (Preferred)
Node.js: 3 years (Preferred)
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Job Is Ideal for Someone Who Is:
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
Company's website:
www.anark.com
Company's Facebook page:
https://www.facebook.com/Anark-141365795909501/
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",5.0,"Anark
5.0","Boulder, CO",,1 to 50 Employees,,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),
Backend Developer,$50K-$91K (Glassdoor est.),"(External) What You Need:
Must-have experience with Hybris data & product modeling.
Must-have experience with Flexible Search using Hybris APIs.
At least 3 years progressive application development and integration experience, supporting medium to larger sized UI applications.
3+ years' experience with SAP Hybris Commerce. Experience with CCV2 desired.
3+ years' experience cloud native application deployment.
Ability to solve complex technical challenges and technical blocks for the development team.
Must-have experience working with Data Hub and ImpEx scripts to integrate Hybris with SAP and non-SAP systems.
Must-have experience working in Hybris Service Layer, DAOs, Model Service and Interceptors.
Commitment to model and live out our Core Values (Accountability, Community, Innovation and Courage) and a positive mindset are critical for success and should reflect in everything you do.

Arbonne International is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sexual orientation, national origin/ancestry, age, sexual orientation, gender identity, gender expression, military/veteran status, marital status, disability status or any other basis prohibited by law. At Arbonne International it’s about each person bringing passion and skills to a dynamic and inclusive workplace!

(External) What You'll Be Doing:
Architecting/developing large enterprise-class e-commerce solutions (B2B / B2C).
Serving as a technical development lead for e-commerce solutions.
Interfacing between marketing, sales and development team.
Serving as a Hybris platform SME on development team.
Solution & technology research, cost analysis, risk identification, implementation strategies.
Full stack ecommerce development.
Leveraging extensive experience of the Hybris Commerce platforms, especially with CCV2, in leading and mentoring development efforts and teams.
N-Tier applications and service-oriented architecture including databases (SQL, NoSQL, and ORM interfaces) and middleware (Java APIs, Java Web Services).
HTML5, CSS, JavaScript, and Vue.js.
Responsive web development.
Working with Product Owners, Business Analysts and Developers to ensure understanding of the application intent, data input, output requirements and inclusion of internal checks and controls.
Writing and maintaining complex UI application documentation.
Supporting compliance requirements with regards to the information being processed, stored, or accessed.
Each employee is responsible for raising awareness of our commitment to Corporate Social Responsibility and should actively participate in activities and initiatives which are designed to have a positive impact on the environment and local communities.
As an employee of a purpose driven company you are required to establish a goal relative to social and environmental impact.
(External) Why You're Here:

The Arbonne IT team is seeking a Back-End Developer, SAP Hybris, to provide strategic and tactical leadership for the design, build, implementation and maintenance of our Hybris Commerce solution. This position will require you to have the technical skills to evolve the entire e-commerce landscape, troubleshoot production issues, and plan for software upgrades, support implementations of new functionality and to set strategic direction for our e-commerce platforms to best leverage the technology available to meet business needs.",3.4,"Arbonne
3.4","Irvine, CA",,501 to 1000 Employees,1980,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,
Front End Engineer – Javascript/React/Angular,$50K-$91K (Glassdoor est.),"Front End Engineer*
_Position requires US citizenship and the candidate must have the ability to obtain a DoD Top Secret SCI Security Clearance._
BigBear, Inc.* is a leading provider of big data computing and analytic solutions. We help people make sense of their data using our cloud-based platform and big data processing algorithms. Each day, we crunch massive volumes of structured and unstructured data into usable and actionable information for our customers.
You will be responsible for the front end parts of our stack: implementing and optimizing UI Components, as well as writing efficient code to render maps in a browser. You will take new features from concept and design to implementation and testing. The successful candidate will be a self-starter that demonstrates excellent communication and problem-solving skills with a strong drive for innovation.
REQUIRED EXPERIENCE: *
• Angular, React, D3, or other JS front end frameworks
• UI/UX design including wireframes, storyboards, and user stories
• Cross-browser design and development
• Bachelor’s or Master’s degree in Computer Science, Engineering, a related field, or equivalent work experience
PROFERRED* *EXPERIENCE: *
• MapBox, Leaflet, or other web mapping technologies
• Agile/Scrum development process
• AWS Certification
• Security+ or CISSP Certification
• Cypress Experience a Bonus
TECHNOLOGY WE USE: *
• Angular, React
• ElasticSearch
• PostgreSQL
• Python - Django
• AWS
• Docker
• Git
• Jenkins
Our Company: *
BigBear, Inc.* is a software development company with locations in San Diego, Washington DC, Charlottesville, and Reston, VA. Our mission is to enable big data computing and analytics for our customers at a low cost. We leverage capabilities such as machine learning, crowdsourcing, geospatial image processing, and Extract-Transform-Load (ETL) data processing using our on-premise cloud computing technology stack. Our solutions provide a unique offering of products, custom-built software, and services focused within Big Data Analytics, Geospatial Information Systems (GIS), Visualization and Cloud Computing to our Department of Defense, and Commercial customers. We currently have exciting and challenging career opportunities for talented, motivated individuals who want to be part of a fast-growing company.
Our Team: *
We like to play with new toys and technologies. We like to break things to see if we can put them back together again in a better way. Our tails wag when we hear the words Big Data, Geospatial or Machine Learning. Each team member provides a unique set of advanced technical skills and trade that contributes to our overall success.
Perks/Benefits: *
· 100% employer-paid for Medical, Dental, and Vision insurance (PPO)
· A competitive salary based on experience
· Flexible Spending Account (FSA) - optional
· 401(k) with dollar-for-dollar match up to 6%
· A warm, cozy office with actual chairs and tables
· Life and Disability Insurance 100% paid for by the company
· Education Assistance
· 529 College Savings Plan - optional
· Healthy Rewards Program
· Pre-paid Legal & Identity Theft Protection - optional
· Gym Reimbursement
· Pet Insurance - optional
· A shiny magical machine that does wonderful things
· Flexible Hours
· Unlimited Coffee, Drinks and Snacks
· 6 WEEKS of Paid Time Off (PTO) on top of 11 Paid Holidays!
BigBear is an Equal Employment Opportunity Employer/Veterans/Disabled *
Job Type: Full-time

Pay: $85,000.00 - $125,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Experience:
React: 3 years (Preferred)
JavaScript: 3 years (Preferred)
Education:
Bachelor's (Required)
Location:
Reston, VA 20191 (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Job Is:
A job for which military experienced candidates are encouraged to apply
Company's website:
www.bigbear.io
Work Remotely:
Temporarily due to COVID-19",4.4,"BigBear, Inc.
4.4","Reston, VA",,51 to 200 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,
Coding Instructor,$50K-$91K (Glassdoor est.),"Coding Instructor*
About Code Ninjas: *
Code Ninjas teaches children, ages 5-14, how to code through game design. In addition to our membership-based monthly program, we run summer camps, day camps, and clubs that teach everything from Minecraft and Roblox to app and web development.

Our unique mission leads to a positive, happy environment that is centered on helping kids have fun at our center. We strive to make work enjoyable and to see each day as a chance for great teamwork and helping kids learn rather than about putting in hours. Because this environment is important to us, we are looking for intelligent, cheerful, energetic people who enjoy their coworkers, love kids, and bring joy to the workplace.

We teach coding languages as well as game design and modding in platforms such as Roblox, Minecraft, and Unity. Experience in Scratch, JavaScript, Python, Lua, C#, Roblox, Minecraft, or Unity are all helpful, but not required. The main thing about working at Code Ninjas is that you enjoy working with kids.
About this job: *
The coding instructor – or “sensei”, as we say here at code ninjas - is responsible for instructing students as they work through their coding coursework. A typical day would include activities such as:

· Tutoring students in their work

· Getting to know your students

· Creating a positive center culture

· Grading coding projects

Over the course of the year, additional duties would include:

· Helping at events

· Leading camps

· Helping with the software and hardware needs of the center

· and more…

The most important characteristic of a code sensei is the ability to build positive, trusting relationships with students and coworkers.

In addition to the options listed above, we are also looking for a sensei who would enjoy teaching coding concepts to younger kids (ages 5-7) in our Junior program. This program is more interactive and requires skills with younger kids. If you are interested in teaching Junior classes, let us know!
This job might be for you if: *
You enjoy kids and believe in the opportunities technological education offers. You are a natural connector with the ability to build trust with students and coworkers.

You are excited to connect with new people and help them see the benefits Code Ninjas can offer to their families and their future goals. You like to dream big and are always looking for ways to improve.

You think on your feet, enjoy solving problems, and are not afraid to take on a challenge. You communicate effectively. You write well and speak with clarity.
What qualifications are we looking for?*
Our primary goal is to find someone who knows how to connect, how to serve, and how to guide others to success. Therefore, we want to see that you have experience in these areas. It doesn’t have to be in the same industry; service and relational skills can be developed and put to use in almost any industry. But we do want to know what experience you have that demonstrates you have the skill and expertise we are looking for. And, of course, any coding experience you have is extremely helpful!
Other Information*
Wages*
Starting Wage: $8.50/hr.
Incentives*
Wage increases are available as incentives for:
Completing coding belt levels in our Create program
Proficiency in operating the Junior program
Skills in specialty camp areas such as Minecraft modding, Roblox Studio, 3D modeling, app development, or video editing
Ability to create curriculum for camps
These incentives have the potential to move the hourly wage up to $12.00/hr.
Work Hours*
We are looking for senseis who are willing to work 1-4 days per week on a flexible schedule. This could mean anything from 2 -12 hours per week, depending on scheduling.
Center Hours of Operation*
T – Th: 2:30pm – 6:30pm

Friday: 9:30am – 6:30pm

Saturday: 9:30am – 2:00pm

Job Type: Part-time

Pay: $8.50 - $12.00 per hour

Schedule:
Monday to Friday
Weekends
Experience:
tutoring or childcare: 1 year (Preferred)
Hours per week:
Less than 10
10-19
Company's website:
https://www.codeninjas.com/ut-lehi
Company's Facebook page:
https://www.facebook.com/CodeNinjasLehi
Work Remotely:
No
COVID-19 Precaution(s):
Personal protective equipment provided or required
Social distancing guidelines in place
Sanitizing, disinfecting, or cleaning procedures in place",,Code Ninjas (Lehi),"Lehi, UT",,,,,,,,
