Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Maryland JavaScript Tutor Jobs,$10-$27 Per Hour(Glassdoor est.),"#Maryland JavaScript Tutor Jobs

Varsity Tutors has students in #Maryland looking for JavaScript tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge in Spanish, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:

In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)
On-Demand tutoring (no need to schedule sessions ahead of time - simply take on opportunities as they arise.) Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

What do we look for in a tutor?

Excellent communication skills and a friendly personality
Academic background in subject areas you wish to tutor
Ability to personalize lessons for each student",4.1,"Varsity Tutors
4.1",Maryland,,201 to 500 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,
Norcross JavaScript Tutor Jobs,$10-$27 Per Hour(Glassdoor est.),"#Norcross JavaScript Tutor Jobs

Varsity Tutors has students in #Norcross looking for JavaScript tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge in Spanish, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:

In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)
On-Demand tutoring (no need to schedule sessions ahead of time - simply take on opportunities as they arise.) Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

What do we look for in a tutor?

Excellent communication skills and a friendly personality
Academic background in subject areas you wish to tutor
Ability to personalize lessons for each student",4.1,"Varsity Tutors
4.1","Norcross, GA",,201 to 500 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,
Front End Engineer,$10-$27 Per Hour(Glassdoor est.),"About EAB

At EAB, our mission is to make education smarter and our communities stronger. We harness the collective power of more than 1,900 schools, colleges, and universities to uncover and apply proven practices and transformative insights. And since complex problems require multifaceted solutions, we work with each school differently to apply these insights through a customized blend of research, technology, and services. From kindergarten to college and beyond, EAB partners with education leaders, practitioners, and staff to accelerate progress and drive results across three key areas: enrollment management, student success, and institutional operations and strategy.

At EAB, we serve not only our partner institutions but each other—that's why we are always working to make sure our employees love their jobs and are invested in their community. See how we've been recognized for this dedication to our employees by checking out our recent awards.

For more information, visit our Careers page.

The Role in Brief:

Front End Engineer

Seeking a Font-end Engineer to solve deep problems with a platform-wide User Interface platform for rapid application development. The role involves supporting the development of a new programming language and the components it uses to construct interfaces.

This position is open to remote work or can be based in our Birmingham, AL office.

Primary Responsibilities:

Aid in the development of solutions that support consistent information architecture, taxonomies, visual standards, interaction patterns, and use cases across multiple applications
Self-start and steward your implementations through the software development process ensuring you champion the standards of the UX team in every development challenge
Follow common sustainable page design, management, and development methodologies
Perform testing at the page & source for presentation layer defects
Writing HTML5 Web Components
Writing in Typescript to solve deep software language and classical computer science problems
Developing accessible solutions across the platform

Basic Qualifications:

Passion for making dynamic, performant, enterprise web applications
2 years of front-end engineer experience
Technical college degree
Understanding of SDLC and the technical and business challenges that come with development of a product
This position will be a busy one. Self-drive and a desire to work hard, cranking through a backlog.
Thorough, methodical, problem solver and creative with extreme attention to detail
Knowledge of and ability to discuss HTML5, CSS, JavaScript solutions
Extremely strong verbal and written communication skills. This role must easily be able to have clear communication over email, IM, phone, and in person.
Excellent customer service and interpersonal skills
Expert at time management as well as working & finding answers to questions independently

Ideal Qualifications:

Experience with one or more of the following technologies: Typescript, Polymer/LitElement, modern JS framework (VueJS, Angular, React, etc.)
Experience with traditional software patterns and application architecture
Experience with a broad range of HTML5 API’s
Experience developing with accessibility standards in mind
Experience with object-oriented, functional, logic, and imperative programming
Degree in Computer Science, Computer Engineering, User Experience, or a related field.

Benefits:

Consistent with our belief that our employees are our most valuable resource, EAB offers a competitive and inclusive benefits package.

Medical, dental, and vision insurance; dependents and domestic partners eligible
401(k) retirement plan with company match
20+ days of PTO annually, in addition to paid firm holidays
Daytime leave policy for community service or fitness activities (up to 10 hours a month each)
Paid parental leave for birthing or non-birthing parents
Phase Back to Work program for employees returning from parental leave
Infertility treatment coverage and adoption or surrogacy assistance
Wellness programs including gym discounts and incentives to promote healthy living
Dynamic growth opportunities with merit-based promotion philosophy
Benefits kick in day one, see the full details here.

At EAB, we believe that to fulfill our mission to “make education smarter and our communities stronger” we need team members who bring a diversity of perspectives to the table and a workplace where each team member is valued, respected and heard.

To that end, EAB is an Equal Opportunity Employer, and we make employment decisions on the basis of qualifications, merit and business need. We don’t discriminate on the basis of race, religion, color, sex, gender identity or expression, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law.",3.6,"EAB
3.6","Birmingham, AL",,1001 to 5000 Employees,2007,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,
Experienced Software Engineer,$10-$27 Per Hour(Glassdoor est.),"Opportunity for a Software Engineer - who wants to build apps on new technologies

Who we are:

Choice Hotels International is an award-winning cutting-edge software development company that develops software to manage, reserve and book hotel rooms in its portfolio of hotels. Choice provides innovative enterprise SOA solutions based on Open Source and AWS technologies.

Choice is a tightknit team where you can enhance your skills in an environment that emphasizes creativity, sharing, teamwork, professionalism, and outstanding quality software.

You will work alongside some of the most talented and dynamic professionals as they work to provide exceptional solutions to the many challenges our business and franchises face.

If you are bright, driven, enjoy working with the latest technologies and have the right blend of business acumen, technically savvy and customer-facing skills then this opportunity is for you.

If you are willing to work hard, looking for a place to learn and grow, and have the skills we would like to hear from you.

As a Team Member, you will:
Work on Agile team to deliver software solutions
Work with other Senior Engineers and Architects to build state of the art software solutions
Works with business owners and customers to create industry leading business capabilities
Challenged to be creative, adapt, grow and learn new skills
Key contributor for creating and maintaining technical documentation as required
Be a Subject Matter Expert in one or more applications
Write correct and clean code; consistently follows/implements best practices and guidelines
Participate in Deployments and Production Support as required
Help mentor Junior Engineers and participate in technical interviews

The Team
A collaborative team that emphasizes creativity, sharing, teamwork, professionalism, and outstanding quality software.
Able to work alongside some of the most talented and dynamic professionals as they work to provide exceptional solutions to the many challenges our business and franchises face
Enjoys working with the latest technologies, possesses business acumen, technically savvy, and has customer-facing skills
Exceptional group of Engineers who are smart and fun to work with

Required:
Bachelor’s Degree in Computer Science, or related field, from a 4-year college or university, or 1-2 years related experience and/or training; or equivalent combination of education and experience. Relevant industry certification, such as Oracle Java Developer, is preferred.
5+ years relevant experience in software development, information systems, or equivalent technical environment, including previous experience in the development of highly transactional, mission critical applications in heterogeneous environments/architectures for multi-user systems.
Excellent knowledge of all aspects of the software development lifecycle: design, functional and technical requirements, coding, debugging, testing, release, and operational support.
Excellent knowledge of agile software development methodologies, Service Oriented Architecture, and object-oriented programming methodologies.
Excellent knowledge of software development best practices, including coding standards, code reviews, source control management, build processes, testing, and operations.
Excellent knowledge of relational database management system technologies and tools.

Skills - Expert level proficiency with the following technologies:

Java
Spring or similar MVC framework for navigating web-based applications
Unix/Linux
Service oriented designs and technologies
Web service protocols, such as SOAP
REST APIs
Database and SQL
Software development tool kits like any of GIT, subversion, Jenkins
XML, XSLT, DTD or Schema modeling, DOM/XPath/SAX parsing – Optional
HTML, CSS, AJAX, and JavaScript (jQuery), AngularJS – Optional
Exceptional analytical skills.
Exceptional verbal, written and listening communication skills.
Exceptional interpersonal skills and demeanor.
Strong leadership skills.
Proficient in the use of MS Office applications, such as Outlook, Word, PowerPoint, and Excel
Immigration sponsorship is not available for this role.
Ability to model Choice’s Cultural Values: Welcome and Respect Everyone, Be Bold, Be Quick, Listen, Be Curious and Show Integrity.",3.7,"Choice Hotels
3.7","Phoenix, AZ",,1001 to 5000 Employees,1939,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,$1 to $2 billion (USD),
Software Engineer,$10-$27 Per Hour(Glassdoor est.),"Overview


Everyone wants to work with people they respect. Even better if you can work with a company you respect. We have both at The David J. Joseph Company, and a 135+ year track record on operating an ethical business with a positive work culture. It may sound cliché, but it’s true. We’re a big, global company that still feels small.

Working at the David J. Joseph Company is unique. We offer employment in diverse settings such as traditional corporate headquarters, dynamic sales locations, and scrap recycling facilities. This workplace diversity gives our employees the variety they crave and the exposure to a global business. A career at The David J. Joseph Company is ideal for self-starters seeking to make an impact on our company and their careers.

The David J. Joseph Company (DJJ), founded in 1885, is a world leader in scrap metal recycling & trading. With over 80+ locations, the Joseph Company is headquartered in Cincinnati, Ohio and is a wholly-owned subsidiary of Nucor Corporation (NUE) a Fortune 200 Company.

Responsibilities
Develops routine to moderately complex proprietary software programming applications from concept to deployment by gathering and evaluating requirements, defining business information requirements, designing the solution, building the code, and testing to meet or exceed quality standards using established process methodologies and tools.
Supports implements and/or installs software applications / operating systems.
Participates in the testing process through test review and analysis, test witnessing and certification of software. Debugs applications as problems are identified.
Makes recommendations for business process improvements with an understanding of technical problems and solutions as they relate to the technology needs.
Collaborates with Project Managers / Business Analysts and end-users to define and document requirements using established processes and tools and given scope constraints.
Translates requirements to design, architect and document systems, and write code that is stable, reusable, scalable and simple.
Proactively monitors, maintains and enhances existing systems to increase functionality, optimize performance, keep pace with changing business needs and reflect technology advancements.
Develops and maintains knowledge of customer's business by learning through a mix of project work, partnering with business users, and seeking out learning opportunities.
Resolves internal customer’s complaints and responds to suggestions for improvements and enhancements.
Works with technical staff to understand routine to moderately complex problems with software and develops specifications to resolve them.
Solves routine to moderately complex business needs with initiative, sound judgment, strong technical skill, attention to detail, and exceptional customer service.
May participate in indoctrinating interns and / or new employees.
Performs other duties as assigned.
Qualifications
Bachelor’s degree in Information Technology, Computer Science, Software Engineering, Business or related discipline. Equivalent combination of experience and education will also be considered.
Minimum 2 – 5 years related experience in designing, coding, testing, debugging, documenting, maintaining and deploying web-based, multi-tiered business software solutions.
Experience designing, developing and optimizing MS SQL databases.
Strong debugging, troubleshooting and analytical skills.
Minimum 1 year experience in the following technologies: C#, ASP.NET, MS SQL, HTML, JavaScript, CSS.
Ability to perform moderately complex requirements development, coverage analysis, impact analysis and modification.
Ability to lead requirements effort on routine to moderately complex projects.
Demonstrates working knowledge, practical skills and the ability to perform work under moderate supervision.
Must be detail-oriented with the ability to manage multiple assignments effectively.
Requires effective communication skills to convey status, ideas and concepts in a team environment.
Requires a professional demeanor with a high degree of flexibility, responsiveness and self-direction.
Non-routine issues are often discussed with / referred to more experienced staff.
Work is typically focused on short-term objectives (6 months or less) and reviewed frequently for assessment and direction.
Minimal travel required.
Benefits


We offer a competitive compensation and benefit package including paid training, bonus program, medical, dental, vision, life and disability coverage, vacation, paid holidays, a 401(k) plan with match, tuition reimbursement and other great benefits.

EEO Statement


The David J Joseph Company (DJJ) is a drug-free workplace and conducts pre-employment testing as a condition of employment.DJJ is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, ethnicity, religion, creed, sex, pregnancy, lactation/breastfeeding, sexual orientation, gender identity or expression, national origin, citizenship, ancestry, age, marital status, familial status, disability, genetic information, protected veteran status, military status, or any other characteristic protected by local, state, or federal laws, rules, or regulations. DJJ hires and promotes individuals solely on the basis of their qualifications for the job to be filled. If you’d like more information on your EEO rights under the law, please click here.

DJJ reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and teammates.DJJ also provides a work environment in which each teammate is able to be productive and work to the best of his or her ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all teammates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all teammates and applicants.

E-Verify Information | E-Verify Notice

EJN


EJN",4.6,"The David J. Joseph Company
4.6","Cincinnati, OH",,201 to 500 Employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,
Senior Software Engineer,$10-$27 Per Hour(Glassdoor est.),"At Ezoic, we're building a better internet experience with our all-in-one digital publishing platform. We are looking for motivated, fast-learning developers who are excited to build products that scale to millions of visitors every day.

At its core, our product uses artificial intelligence to learn how users interact with digital content and proactively delivers the optimal front end for every visitor to our customers' sites. We've built tools to automatically generate progressive web apps, in-depth reporting dashboards to give publishers novel insights into their users, data pipelines to process hundreds of millions of events, and tools to vastly increase throughput and effectiveness of our machine learning decisions, just to name a few. We're continuously growing, and we're looking for frontend and backend developers who love building and solving problems across the entire tech stack.

Technologies you'll work with:
Big Data: It's the backbone of everything we do. We use Redshift and MySQL to store just about everything you could imagine about a visitor's interactions with digital content.
Machine Learning: We use tensorflow, scikit-learn, Python, Golang, and state-of-the-art tools we've developed in-house to make data-driven decisions about the kinds of ads, content, and layouts to show each visitor.
Web Development: We build customer-facing dashboards, apps, and internal tools using whatever framework is best for the job, whether it's Vue.js, Angular, JS, Go or PHP. Plus, with a wide variety of digital publishers, you'll get experience working with a diverse set of web development technologies.
Cloud Computing: Our stack is built primarily upon AWS (EC2, Dynamo, RDS, Kinesis, etc.), along with other tools such as Kubernetes, Docker, and Apache Spark.
What you'll need:

5+ years of experience as a software engineer
Strong coding fundamentals: you're an expert in at least one language (e.g. Golang, Python, JavaScript, C++), and you're eager to learn more.
Web development experience (AJAX, HTML, CSS, PHP, React, Angular, etc.)
Experience with databases (PostgreSQL, Redshift, MySQL, or similar)
A drive to solve problems
Life as an Ezoic engineer:

Ezoic is an inaugural member of the Google Certified Publishing Partner Program. This means we work closely with Google to help websites optimize their ad revenue. We actually have won awards directly from Google for the artificial intelligence that we've built. Cool, right?!?

Ezoic is a technology-first company. Our CEO is a developer by trade, and our engineers are given all the tools needed to succeed. We empower our engineers to make a lot of their own decisions about both design and implementation, and encourage them to come up with new ideas to improve the application. We also aim to keep a good work-life balance, based on our philosophy that happy engineers are more productive. We want you to be working on something that you are passionate about and allow engineers to move around to keep things fresh.

While we are all working remotely now because of Covid, we have a brand new office in Carlsbad, CA, where we plan to return next year sometimes when the world goes back to normal. Every engineer works at their own quad-monitor setup on a standing desk. We pride ourselves on getting stuff done, but when you need a break, Ezoic offers great perks, including unlimited vacation time, catered lunches, snacks, flexible hours, ping pong, video games, and pool.

#ZR",4.9,"Ezoic
4.9","Carlsbad, CA",,51 to 200 Employees,2010,Company - Private,Research & Development,Business Services,$50 to $100 million (USD),
Graphical User Interface Developer (GUI),$10-$27 Per Hour(Glassdoor est.),"Sabre Systems is currently recruiting for a Single Page Application User Interface Developer (GUI) to work at Aberdeen Proving Ground, MD supporting the Combat Capabilities Development Command (CCDC) C5ISR Software Engineering Directorate (SED). The selected developers’ duties include, but are not limited to: * Provide implementation of developments to the application requirements. Report any issues that affect the performance, cost, or schedule of the application and propose alternatives to mitigate these issues to the Government project lead. Use JIRA for project management, bugs, and issue tracking. * Comply with all applicable security requirements to include, but not limited to the Defense Information Systems Agency (DISA) Security Technical Implementation Guides (STIGs) and DISA checklists. * Deliver documentation required in support of approval and certifications to include, but is not limited to: Certification and Accreditation (C&A); Certificate of Networthiness (CoN); Ports, Protocols, and Services Management (PPSM); Data in Transit; Data at Rest (DAR); DoD Investment Review Board (IRB); STIGs, Plan of Action and Milestones (POA&Ms); and Privacy Impact Assessment (PIA). * Create and deliver documentation required in support of requirements gathering, software development, deployment, functional architecture testing, and maintenance for current and new applications to include but not limited to: Full Requirements Document, Software Design Document, Software Validation Protocol, Traceability Matrix, User’s Manual, etc. * Monitor, claim, update, and complete customer requests through the Chief Information Officer (CIO) portal ticketing system by gathering information, conducting research, developing, testing, deploying, and corresponding with customers as required. Qualifications A Bachelor’s degree in computer science, engineering, or related technical discipline, and five (5) years’ related experience is required. In lieu of a degree, eight (8) additional years’ experience is required. The selected candidate must have the following experience, knowledge, skills, and abilities: * Experience in software engineering for Federal and/or DoD customers * Experience designing SPAs that interact with REST API endpoints * Extensive working knowledge with HTML/CSS and JavaScript * Extensive working experience with Angular * Working knowledge with Bootstrap * Good understanding of Git The selected candidate must be a US Citizen and have an Active DoD Security Clearance. Overview Sabre Systems, Inc. is a quality driven, customer focused large business providing innovative solutions in the areas of Cyber, C4ISR, Business Intelligence and Data Analytics, and Enterprise Modernization to federal and civilian customers. Our mission is to ensure our customers have the technology, services, and expertise to overcome threats, maintain superiority, and quickly adapt to emerging obstacles. At Sabre, we're more than just a job - we're a team - and we care for and nurture our employees like family. If you want to be a part of creating and implementing enduring solutions that transform mission challenges into mission success – join Sabre! Sabre provides an excellent benefits package, which includes healthcare, paid days off, tuition reimbursement, and a 401K plan. We respect the unique perspectives that a diverse workforce of minorities, women, individuals with disabilities, and protected veterans brings not only to our company, but also to our customers. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin. EOE Minorities/Females/Disability/Veterans; VEVRAA Federal Contractor Job Type: Full-time Schedule: * Monday to Friday Experience: * developer: 5 years (Required) * HTML/CSS and JavaScript: 1 year (Required) * Active DoD Security clearance: 1 year (Preferred) Education: * Bachelor's (Preferred)",4.8,"Sabre Systems Inc.
4.8","Aberdeen Proving Ground, MD",,201 to 500 Employees,1989,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),
Software Engineer,$10-$27 Per Hour(Glassdoor est.),"Globalization Partners' mission is to eliminate the barriers to global business and make it easy for companies to hire in more than 170 countries within days.

We're in hyper-growth mode and plan to double in size this year. Growth is in our mandate and we need amazing people to succeed. Our renowned culture has been named one of the Top 150 Company Cultures in America, and our goal is to add the best talent to our award-winning team!

About the position:
Design and develop our cloud-enabled products, working on all parts of the code stack front-end, REST/GraphQL APIs, back-end application logic, integrations with external systems, and database.
Build quick prototypes to refine concepts, then turn them into real production-quality features.
Build or implement internal tools to gather metrics and monitor health of applications.
Diagnose and fix issues reported by internal teams and customers.
Work as part of an agile team in a collaborative environment.


What we're looking for:
3+ years of experience developing software in product-focused development teams.
Full-stack experience writing back-end services in addition to coding the front-end against them using REST or GraphQL.
Strong experience building modern single page applications using React (or similar JavaScript framework/library), CSS, HTML5.
Strong experience on the back-end with Node.js or Java Enterprise Web Applications.
Experience with relational databases and SQL.
Strong knowledge of modern cloud architectures and technologies. Experience with AWS is a plus.
Experience integrating with external systems. Specific experience integrating with Acumatica and Salesforce is a plus.
Experience with BPM modeling tools such as Camunda is a plus.
Solid software engineering fundamentals.
Experience in a startup or high-growth environment is highly desirable.
B.S. in Computer Science or equivalent.
About You:
Committed to delivering high-quality results within demanding timelines.
Take pride in writing well-structured, well-commented, and maintainable unit-tested code. You're always thinking of security, performance, and scalability.
Capable of working with minimal direction.
Well respected and acknowledged as an expert by peers.
Challenge yourself, learn from others, and strive to grow professionally every day.
Emotionally mature team player with a positive can-do attitude.
Perks:
Sabbatical after 5 years of employment
World class benefits, including health, vision and dental
401k matching
Competitive compensation
Paid-time-off (PTO)
Generous, equal-gender family leave
Frequent team events- including happy hours and lunches
We'll keep you fed with snacks, treats, and beverages",4.6,"Globalization Partners
4.6","Boston, MA",,201 to 500 Employees,2012,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,
Front-End Software Developer,$10-$27 Per Hour(Glassdoor est.),"Come join a new workflow program using User Centered Design to create a joyful and meaningful UI for our users.

BlackHorse Solutions is hiring motivated individuals ready to take on the challenges of developing full spectrum cyber solutions. Qualified candidates are eager to learn new technologies and the impact of various operational scenarios to the design of any given solution as we press forward with innovative solutions to hard problems in embedded, enterprise, mobile, and web environments. This role will not necessarily be one to sit on the same project or technology for years. Our internal research and development drive as well as the ever-evolving cyber environment yields a fast paced diverse problem set for which we design our solutions with the best language and technology for the task.

Required Experience:
Bachelor's or above in Computer Science or related field of study.
Active TS/SCI security clearance
Experience in working on an Agile Team
Experience with Javascript/TypeScript and a JavaScript Framework (ex: AngularJS, ReactJS, VueJS)
Working on Cyber Development programs
Desired Experience:
Experience working in AWS
Experience in Test Driven Development (TDD)
Experience with Java, Python, etc.
Experience working with containers (Docker, Kubernetes)
Security Clearance Requirements: Applicants selected will be subject to a government security investigation and must meet eligibility requirements. U.S. Citizenship is required.

_We are proud to be an Equal Opportunity/Affirmative Action employer. People seeking employment at BlackHorse Solutions, Inc. are considered without regards to race, color, religion, national origin, age, sex, marital status, sexual orientation, ancestry, genetics, physical or mental disability, or veteran status._

Job Type: Full-time

Schedule:
Monday to Friday
Experience:
Cyber Development: 2 years (Required)
JavaScript: 2 years (Required)
Python: 2 years (Required)
Education:
Bachelor's (Required)
License:
TS/SCI (Preferred)
Application Question:
Are you a U.S. Citizen?
Work Remotely:
Temporarily due to COVID-19",4.5,"BlackHorse Solutions Inc
4.5","Herndon, VA",,Unknown,,Company - Private,,,Less than $1 million (USD),
Software Engineer,$10-$27 Per Hour(Glassdoor est.),"Summary

New Visions for Public Schools is looking for a software engineer to join our Systems, Data Analytics, and Research team (SYSDAAR). As a member of our team, you will help build, test and maintain our school management platform built on Angular, Node.js, and MongoDB, supplemented by RXJS, Typescript, GraphQL, PostgreSQL, and other technologies.

Our team's work is integral to New Visions' direct support to over 700 public NYC high schools and more than 450,000 students in modernizing their tech infrastructure to improve the responsiveness and quality of operations, instruction, and student support.

The problems we are solving are challenging and interesting and our solutions have an immediate impact on students and staff at schools in NYC. We are looking for an engineer excited about making a difference and the prospect of joining a fun and growing team in an open, collaborative, and diverse environment.

The successful candidate will be hired as either a Software Engineer Level I or Level II based on prior experience demonstrated through the selection process.

Who you are:
You are passionate about mission-driven technical work that has a tangible and immediate impact on opportunities and outcomes for young people.
You are a strategic and analytical thinker with a natural curiosity for investigating issues and communicating insights.
You are detail-oriented with a commitment to code quality and accuracy.
You are collaborative and team-oriented with a strong sense of collective responsibility.
You are dedicated to continuous learning and skill-building, seeking out opportunities to develop your own new skills and to mentor team members in their professional growth.
Essential Job Functions

Software Design and Development
Write clean, testable, scalable and well-documented code
Write robust, thorough and thoughtful software tests (unit and integration)
Proactively contribute ideas for new features and identify areas for improvement
Develop a broad understanding of our existing code base and identify high-value refactors to improve code quality over time
Software support
Systematically debug user and system reported problems across all environments, using modern debugging techniques and tools
Proactively identify potential problems, recommend solutions, and contribute to implementation of fixes
Collaboration with Product, Design, and Quality Assurance teams
Develop domain knowledge through working with our product management and design teams, which will enable you to understand our user community and subsequently apply knowledge to your systems development and support responsibilities
Participate in product requirement review and task sizing/estimation
Leadership and Communication
Support the implementation of smart practices, protocols and technologies
Proactively communicate with your team when there are blockers and work together to identify solutions
Actively participate in architecture, engineering, and requirements planning meetings
Provide and receive constructive feedback
Required Education and Experience:
Undergraduate or graduate study in a related field, or an equivalent combination of experience, education, and/or training in the software development field
Experience in a production software engineering work environment or equivalent training program
Experience working in a continuous software delivery environment (agile or kanban) or equivalent training program
Required Knowledge and Skills:
Familiarity with design patterns (object oriented, singleton, subscriber/observer, functional programming, promises)
Javascript (ES5 / ES6 )
Experience with Javascript front end frameworks (Angular, React, etc.)
RESTful API development
Mongo
NodeJS
CSS / SCSS
Ability to work in a fast-paced environment, to be flexible, and to quickly adapt to new information
Strong analytical and problem-solving skills
Excellent organizational and project management skills
Collaborative and team-oriented with a strong attention to detail
Preferred Knowledge and Skill:
Typescript
NGRX
GraphQL
Hapi
Postgres
Storybook
Prior experience in education is welcome!
Disclaimer:

The statements herein are intended to describe the general nature and level of work being performed by the employee in this position. These statements are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of a person in this position.

EEO:

New Visions for Public Schools is an equal opportunity employer. It is the policy of New Visions that all employees and applicants for employment will be treated in all respects on the basis of their merit and qualifications and without regards to their race, color, national origin, age, disability, sexual orientation, religion, gender, military status, marital status, ancestry, or any other reason prohibited by law.

New Visions believes that our people and teams should reflect the diverse communities we serve, and that our culture and internal structures should be inclusive and equitable for all prospective and current employees. We also recognize that perspectives from communities that have been historically marginalized, such as individuals of color, individuals from economically disadvantaged backgrounds, individuals with disabilities, individuals who identify as LGBTQIA, and women, are critical to the work we do. Hence, we strongly encourage applications from individuals living in the communities that we serve or who are members of marginalized communities.

New Visions provides a comprehensive and competitive compensation and benefits package in addition to the opportunity to make a significant impact on education reform and in the lives of urban youth.",3.8,"New Visions Central Office
3.8","New York, NY",,501 to 1000 Employees,1989,Nonprofit Organization,K-12 Education,Education,$50 to $100 million (USD),
