Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Katy JavaScript Tutor Jobs,$10-$26 Per Hour(Glassdoor est.),"#Katy JavaScript Tutor Jobs

Varsity Tutors has students in #Katy looking for JavaScript tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge in Spanish, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:

In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)
On-Demand tutoring (no need to schedule sessions ahead of time - simply take on opportunities as they arise.) Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

What do we look for in a tutor?

Excellent communication skills and a friendly personality
Academic background in subject areas you wish to tutor
Ability to personalize lessons for each student",4.1,"Varsity Tutors
4.1","Katy, TX",,201 to 500 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,
Austin JavaScript Tutor Jobs,$10-$26 Per Hour(Glassdoor est.),"#Austin JavaScript Tutor Jobs

Varsity Tutors has students in #Austin looking for JavaScript tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge in Spanish, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:

In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)
On-Demand tutoring (no need to schedule sessions ahead of time - simply take on opportunities as they arise.) Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

What do we look for in a tutor?

Excellent communication skills and a friendly personality
Academic background in subject areas you wish to tutor
Ability to personalize lessons for each student",4.1,"Varsity Tutors
4.1","Austin, TX",,201 to 500 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,
Full Stack PHP Developer,$10-$26 Per Hour(Glassdoor est.),"Ready for a change in 2020? Don't miss your chance to join one of the fastest growing tech companies in the Tampa Bay Area!*
We are seeking a motivated, passionate, and energetic PHP Developer to add to our development team. Being a SaaS product, we are looking for team members who strive for the success of our customers, strong problem solvers, great communication skills, and are motivated to succeed.

At only 5 years old, MyShopManager.com has rapidly become the industry-leading marketing platform for auto repair shops. We are proud to say we now serve thousands of happy customers across North America and Canada, and are adding more every day.

You will be responsible for implementing new features, quickly working through bugs and other development issues that arise. Assist in the mapping of future features in design and architecture. There will be plenty of opportunities and room for growth for the right person!
Desired Skills: *
Excellent communication skills
Deep experience with PHP
Deep experience with SQL
Deep experience with REST APIs
Experience working on applications with large user-bases, scalability, and architectural design
Experience with version control, preferably Git
Experience with Javascript, preferably Vue.JS
Experience with a ticketing system, such as JIRA, Freshdesk
Work where you are appreciated; Appreciate where you work.
Must be in the greater Tampa Bay area*
Job Type: * Full-time, Remote currently with option to work in office when available
Hours: * Monday to Friday 9AM - 5PM (1hr lunch)
Office Location: * 1115 Gunn Hwy Ste 202 Odessa FL, 33556
Benefits: * Health, Dental, Vision, and Life Insurance Coverage. Paid Time Off, Holidays, Sick Time
Career Growth: * This is a growing Company with opportunities to advance. We promote from within, so show us what you can do and grow your career along with us!
While we appreciate your persistence, please only contact us via this Indeed posting. Please do not apply in person, telephone, or via our web site.

Job Type: Full-time

Pay: $60,000.00 - $100,000.00 per year

Benefits:
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
Programming: 2 years (Preferred)
PHP: 2 years (Preferred)
Location:
Tampa, FL (Required)
Work authorization:
United States (Required)
Work Location:
One location
Company's website:
https://myshopmanager.com
Benefit Conditions:
Only full-time employees eligible",4.6,"MyShopManager
4.6","Tampa, FL",,1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),
Software Engineer,$10-$26 Per Hour(Glassdoor est.),"Software Engineer

Fairlawn, OH

We are seeking a Full Stack developer with 3-7 years of experience who will be part of an Agile team responsible for building .NET applications using technologies such as C#, React.js, Redux, ASP.NET Core, SQL Server, Docker, Kubernetes, RESTful Web Services, Message Queues and more. Your primary responsibility will be to design and develop various layers of our applications, coordinating with the rest of the team to ensure we're meeting the needs of the business. A commitment to collaborative problem solving, innovation, and quality product is essential.

Responsibilities
Work closely with team members and product owners to develop innovative applications built to serve the needs of the business and our customers
Design, build, and maintain efficient, reusable, and reliable code
Integrate data storage solutions using Stored Procedures, Entity Framework and more
Ensure the best possible performance, quality, and responsiveness of applications
Identify bottlenecks and bugs, and devise solutions to quickly mitigate and address these issues
Help maintain code quality, organization, and automatization
Investigate and develop skills in new technologies
Skills
Strong knowledge of latest .NET web framework, .NET Core knowledge preferred
Highly proficient in C#, with a good knowledge of JavaScript (React/Angular)
Familiarity with building and deploying micro-services
Strong understanding of object-oriented programming
Skill for writing reusable libraries
Familiar with various design and architectural patterns
Knowledge of concurrency patterns, dependency injection, etc.
Familiarity with Microsoft SQL Server
Experience with popular web application libraries and frameworks such as Bootstrap, FLUX and Redux
Familiarity with stateless applications such as Azure Function Apps
Knack for writing clean, readable, well documented and easily maintainable code
Experience working on an Agile software development team preferred (TFS/VSTS/Azure DevOps knowledge is a bonus)
Understanding of fundamental design principles for building a scalable application
Experience creating database schemas that represent and support business processes
Knowledge of RESTful web services and building/consuming APIs required, API Gateway experience helpful
Experience implementing automated testing platforms and unit tests (XUnit, Jest, etc.)
Proficient understanding of code versioning tools such as Git, SVN, and Mercurial
Understanding of and/or experience with Continuous Integration and Deployment
Works well with other engineers to problem solve and accomplish similar goals
Requirements
Bachelors and/or Master's Degree in Computer Science related field OR equivalent work experience
Passionate about software development, automation and STEM
Desire to grow both personally and professionally alongside others
Disclaimer

The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.

BNSF Logistics offers competitive benefit programs and services including, but not limited to:
Competitive pay
Comprehensive health benefits package
401(k) plan with employer match
Flexible spending account
Company paid life, short-term and long-term disability insurance
Employee discounts on autos, travel, electronics, insurance, etc.
Tuition assistance
Professional training staff with an industry leading Learning Management System
Company culture that recognizes its employees
BNSF Logistics is an Equal Opportunity Employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other status protected by law.",3.7,"BNSF Logistics
3.7","Fairlawn, OH",,501 to 1000 Employees,2002,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$100 to $500 million (USD),
Full Stack Developer,$10-$26 Per Hour(Glassdoor est.),"Do you want to get a foot in the door at an online Advertising and Media company that has seen tremendous growth? Do you want to work in the world of online video; one of the fastest growing advertising formats in the world? Then Playwire is the place for you…

Playwire Media is a full-service digital innovation partner that leverages online advertising and proprietary technologies to build publishing brands in the gaming and entertainment verticals.

To keep pace with our explosive growth, we are currently seeking a Full-Stack Developer. A full-stack developer is primarily tasked with developing and extending our Ruby on Rails-based services. We want people who are disciplined but also creative, and unafraid to jump into project that will be used on a daily basis by our customer base, as well as internal employees. Our server side applications play a variety of roles, from reporting to process administration, to high-volume delivery of configuration information essential to the proper functioning of our client-side scripts, themselves responsible for delivering ads to millions of users each day. Serious applicants must be ready to undertake primary responsibility for multiple subsystems within these applications, and to work closely with other team members to continuously expand the capabilities of those systems.
While Ruby on Rails is the most important piece of the puzzle, this is a full-stack position, so it's also important that you are comfortable with front-end technologies, the fundamentals of communication with third parties, and core database principles.

This position requires full-time employment; availability at our main office in Boca Raton, FL is preferred, but remote work is a possibility.

Essential functions:
Design, build, and maintain efficient, reusable, and reliable Ruby code, usually utilizing the Rails framework.
Develop user-facing elements that are a primary input to our RoR applications.
Integrate data from external sources, gathered both via API and from email-based reports.
Identify bottlenecks and bugs, and devise solutions to these problems.
Help maintain code quality, organization, and automation.
Participate in architecture and refactoring work.
Required qualifications:
Intermediate knowledge of Ruby on Rails with a strong understanding of Rails fundamentals.
Knowledge of common design patterns and how they can applied to Ruby and Rails.
Understanding of fundamental design principles behind a scalable application.
Experience working with APIs, both integrating a third-party API and creating your own when necessary.
Experience using SQL and SQL databases, going beyond interactions managed via ActiveRecord.
Experience with HTML5, CSS3, and Javascript.
An understanding of source control, particularly git and Github.
Experience writing automated tests.
Nice-to-haves:
Experience with digital ad servers, SSPs, or ad exchanges.
Experience with Amazon AWS, particularly RDS and S3.
Experience working in a team using Agile development and project management practices.
Experience with video for the web, particularly HTML5 video.
A basic knowledge of CDNs and the role they fill, including edge computing capabilities.
Experience with digital advertising units, terminology and standards.
Job Type: Full-time

Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Experience:
Ruby on Rails: 3 years (Preferred)
JavaScript: 3 years (Preferred)
APIs: 3 years (Preferred)
CSS3: 3 years (Preferred)
HTML5: 3 years (Preferred)
SQL: 1 year (Preferred)
Company's website:
https://www.playwire.com/
Work Remotely:
Temporarily due to COVID-19",3.3,"Playwire Media
3.3","Boca Raton, FL",,51 to 200 Employees,,Company - Private,,,Less than $1 million (USD),
Back End Developer,$10-$26 Per Hour(Glassdoor est.),"Position Overview

We are looking for an experienced and creative back-end web developer to include experience with PHP. You will be part of an expert team responsible for developing new applications critical to our customers, as well as maintaining and updating existing tools. The developer will play an integral part in the project life cycle and work closely with team members from initial concept to final release.

We are looking for a developer who has the following experience:

Required Skills and Experience
Bachelor’s Degree in Computer Science or related field
10 years of direct experience
PHP knowledge & experience
Extensive experience developing web applications
Mastery of back-end frameworks and CMS platforms
Expert of relational database concepts
Strong knowledge of front-end development
Experience with responsive front-end frameworks
Must pass a Government Background check
Strongly Preferred Skills and Experience with:
LAMP stack
Drupal CMS
Server-side JavaScript frameworks
HTML 5, CSS, jQuery
Bootstrap
Native application development
Amazon Web Services (AWS)

Infina is an SBA recognized woman-owned, small business.

www.infina.net",4.3,"Infina
4.3","McLean, VA",,1 to 50 Employees,1992,Company - Private,Consulting,Business Services,$5 to $10 million (USD),
Web Software Developer,$10-$26 Per Hour(Glassdoor est.),"Medical Guardian has been named “Top Workplaces” by the Philadelphia Media Network in 2018, “Best Places to Work” by the Philadelphia Business Journal in 2015 and ranked number 24 in The Philly 100 fastest growing companies. In 2017, the company made its fifth appearance in a row in Inc. 5000 Fastest Growing Private Companies in America list.

Check us out on:

The Muse https://www.themuse.com/profiles/medicalguardian

Glassdoor https://www.glassdoor.com/Reviews/Medical-Guardian-Reviews-E749526.htm

Medical Guardian is seeking a talented Web Software Developer to join our IT team at our state of the art Headquarters in Center City, Philadelphia.

Required Skills:
Participate in setting organizational Web development strategy. Ensures that project/department milestones/goals are met and adhering to approved budgets
Manage infrastructure supporting highly visible, high traffic web properties in a dynamic, high-energy, ever-changing environment. Manage Web development projects, including intranets and extranets. Develop, code, install, test, debug, and document Web applications
Work with Product Management/Product Support as well as Platform and Development to push the envelope with regards to web based technologies
Identifying and acting on opportunities to improve and update software and systems
Effectively bridge the gap between highly technical engineering people/initiatives and the non-technical people/business end initiatives
Developing and implementing IT policy and best practice guides for the organization
Required Skills

Qualifications
5 years experience in the web technologies including PHP, Java/JSP or .Net areas as an individual contributor. 1-3 years experience in managing projects with small teams both in-house and external.
Proven experience in understanding of front-end technologies, such as JavaScript, HTML5
Understanding of MVC design patterns. Knowledge of object oriented PHP programming. Understanding accessibility and security compliance
Integration of multiple data sources and databases into one system
Creating database schemas that represent and support business processes
Familiarity with SQL/NoSQL databases and their declarative query languages
Proficient understanding of code versioning tools, such as Git
Knowledge in both restful and SOAP APIs. Familiarity with APIs, web services, and 3rd party platforms and libraries, such as Salesforce, Five9, etc.
Excellent interpersonal skills.
Excellent written and oral communication skills.
Highly self-motivated and directed.
Keen attention to detail.
Required Experience

Job Location
Philadelphia,",4.7,"Medical Guardian
4.7","Philadelphia, PA",,201 to 500 Employees,2005,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),
Software Engineer - Adobe Multi Solutions - Remote,$10-$26 Per Hour(Glassdoor est.),"Pay Range: $78,312 - $97,107 annually

Applicants for this position can work remotely from their home! Applicants must live in Nebraska, Kansas, Iowa or Texas however due to store locations and tax purposes.

At NFM, we’ve been hiring friends since 1937—people who share our passion for helping customers feel right at home. If you share our vision, we invite you to be one of us!

People love working here! Glassdoor ranked Nebraska Furniture Mart in the top 50 Best Places to Work in the U.S. and here are a few reasons why:

A FUN, stable work environment, with no lay-offs in our history
A safe place to work and shop
A path to the career of your dreams (career development opportunities)
A culture that encourages volunteering and serving our communities

Job Description: Your Piece of the Puzzle

NFM’s Adobe Multi-Solution Engineer is responsible to be the subject matter expert for Adobe Campaign Standard and other Adobe Experience Cloud Products and Services such as Launch and Analytics. The primary responsibility will be to translate business requirements for these tools into custom implementations by using a combination of custom JavaScript, data layer objects, processing rules, report suite configurations and technical workflows.

Job Duties: A Day in the Life

Plan: Gather and understand unique business requirements and implement the desired solutions
Research: Proactively identify, analyze, and position opportunities to improve digital analytics front-end implementation based on internal and external data
Collaborate: Coordinate final project quality analysis, reporting, transferring of reporting knowledge, provide close-loop communication within the organization including creating senior executive dashboard
Create: Perform extensive testing, create queries to extract and validate segment data and sizing or perform quality analysis testing to validate project test data
Design: Setup new SProps and eVar through Adobe Analytics
Optimize: Act as the owner of Adobe Launch and coordinate with the web-dev team to realize tagging

Your work will directly impact our ability to help people create a lifestyle they love, for the people they love—because that’s what we love.

Benefits: What’s in It for You?

As a full-time member of our NFM Family, you will enjoy:

Competitive pay
Health, dental, vision and life Insurance
Paid holiday and paid time off
Staff discount on merchandise
(Collectively, NFM staff has saved almost $2 million on purchases in the last 12 months)
Tuition reimbursement
Paid training
401(k) with company matching
Short and long-term disability
Employee assistance program
Career development and advancement opportunities
Community volunteer opportunities

NFM is an Equal Opportunity Employer.

Experience
Required
• Bachelors’ Degree in Computer Information Systems, related field required or equivalent experience
• 1+ year of hands on Adobe Campaign Standard experience or 3+ years of marketing campaign development experience on a tool equivalent to Adobe Campaign Standard (Salesforce Marketing Cloud, Cheetahmail, …)
• At least 2 years of experience in software development life cycle
• At least 1 year of experience in translating functional/non-functional requirements to system requirements
• Expertise and Experience in SQL (Oracle / SQL Server / PostgreSQL)
• Experience working with/creating APIs
• Strong understanding of tag management systems and platforms (Adobe DTM/Launch, GTM, Tealium, Ensighten, etc…)
• Excellent understanding of analytics and tag management best practices, including workflows and planning
• Outstanding project management skills with proven experience managing end-to-end projects including managing budget, timelines/milestones, multiple partners and deliverables
• Demonstrated ability to manage simultaneous projects in a fast-paced environment
• Estimation abilities in scoping work in a highly complex environment
• Must be able to work independently and collaboratively (team oriented) with an enthusiastic attitude
• Strong interpersonal, communication and influencing skills
• Problem analysis and problem resolution at both a strategic and a functional level
• Ability to work nights, weekends and/or early morning hours based on business needs
• Pre-employment screening includes, but isn’t limited to, drug screen and criminal background check
Preferred
• Proficient in Adobe Launch
• Experience migrating Tag Management Systems
• Experience with on-demand reporting/Analysis/business intelligence tools, including Tableau, etc…
• Experience with Commerce Cloud
• Experience with Adobe Campaign, Adobe Target, or other Adobe Solutions (Audience Manager, AEM)
• Experience with Agile development philosophy, practices, and tools
• The right mix of experience in Marketing and Technology is highly desirable
• Adobe Analytics Certification – Certified Expert, Business Practitioner; Certified Expert, Technical Architect
• 2 years of technical workflow development experience in Adobe Campaign Standard and 4 years in a related tool (Salesforce Marketing Cloud, Cheetahmail, …)
• 3+ years’ experience with Web Analytics Tools
• 2 years+ experience in JavaScript and Various JavaScript libraries and Experience in Workflow (Import, export, maintenance, data extraction)
Education
Preferred
Bachelor's Degree or better in Computer Science or related field",3.3,"Nebraska Furniture Mart
3.3","Kansas City, KS",,1001 to 5000 Employees,1937,Subsidiary or Business Segment,Home Furniture & Housewares Stores,Retail,$1 to $2 billion (USD),
Full Stack Engineer,$10-$26 Per Hour(Glassdoor est.),"ClearCube is in a growth mode. If you are seeking a rewarding career opportunity with a growing company that is a catalyst in the evolution of computing, then you should consider ClearCube. Well-funded, profitable, and experiencing explosive growth, we are always looking for exceptional people to add to our team. Competitive salaries and a comprehensive benefits package make ClearCube a great choice. A fun and challenging work environment make this opportunity anything but ordinary.

ClearCube is headquartered near Austin, Texas, an established technology center and one of the country’s highest-rated lifestyle cities. We are actively looking for energetic, motivated people who thrive on creativity and responsibility.
Full Stack Software Engineer *
We are looking for a self-starter Full Stack Engineer that is passionate about technology to drive various improvements in our Sales, Marketing and Manufacturing applications and teams. As part of the Product Engineering team, you will be the driving force behind our efficiency improvements related to our ERP system mainly and building new applications to make our current system better and coming up with new concepts. You will also be responsible for updating and making improvements to our e-commerce configurable Website. To meet this challenge, you will need the experience in the Microsoft, LAMP and MEAN stack as well as the complex needs of ClearCube’s internal and external customers.
Key Responsibilities: *
Analyzing our ERP database and optimization and suggesting better implementations on normalization and efficiency
Developing new Windows Forms in our ERP system called M1 by ECI to help Operations, Manufacturing and Sales teams
Reporting to manager about any impediments, support and updates
Managing the website for any optimization for functionality as well as performance
Maintaining our web server
Working and syncing with your team to resolve issues and provide answers to improve efficiency and come up with new applications for internal processes and new products
Learning and keeping up with new technology frameworks on the front-end, middleware or backend.
Developing applications and utilities across different platforms
High self QA standards, ability to craft code that is not only functional but also clean and maintainable
Ability to work both independently as well as in a team setting
Experience in developing Product Requirements Documents
Project estimation/planning skills – specifically agile development practices and tools
Must Haves: *
Experience in Database development using aggregate functions, clustering, indexing, scalability, joins, constraints, normalization, etc.
Building Windows forms with Visual Basic to create reports and coding in Crystal Reports to develop reports
Good understanding of the Microsoft Stack from the BIOS, OS, IIS Server, .NET
LAMP and MEAN stack experience and understanding different distros like RHEL, Ubuntu, CENTOS, etc.
High knowledge of Command Line Interface and BASH commands
API development and understanding POST, GET, PATCH, DELETE, tokens, JSONP, CORS, etc. Also, setting up a web server to handle API requests
Being able to code in different languages, Visual Basic being priority, C#, JavaScript/Node.js, HTML, CSS, Python, PHP
Cloud platform systems like Google Cloud, AWS and Azure experience
NGINX, Apache, IIS web servers and server management experience
Microservices and use of containers and virtual environments like Docker
E2E and Unit testing experience
BS/BA in Science, Technology, Engineering, and Mathematics or related experience
3+ years of proven experience as a software engineer
1+ years of demonstrable experience of working with and tailoring ERP systems.
Nice to have’s: *
Machine Learning/AI experience
DevOps and networking experience
BIOS development using C and assembly
Physical Demands: *
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

· The employee must regularly lift and or move up to 25 pounds, frequently lift and/or move up to 50 pounds.

· Employee must be able to regularly sit, use hands and fingers, handle, feel and talk or hear.

· Must be able to stand, walk and stoop, kneel, couch or crawl
Salary Range: *
$60,000 to $80,000 depending on qualifications and experience.
Benefits: *
ClearCube is an equal opportunity employer and strives to provide a work environment free of discrimination and harassment. We offer competitive salaries, bonus program based on company achievement, health benefits with unparalleled growth and development opportunities all to create a compelling and rewarding work environment.

If you are the kind of communicator who can make compelling technology even more irresistible, this is your opportunity. Thank you for your interest in working with us. We are eager to work with you!

To join the ClearCube team, where your talent and contribution will be respected, contact us at jobs on the ClearCube.com web-site.

\*\* Candidates must be LOCAL to the Greater Austin area. Non-local candidates will not receive a reply \*\*

\*\* No recruiters or placement firms - no response will be given \*\*

Job Type: Full-time

Pay: $60,000.00 - $80,000.00 per year

Benefits:
401(k)
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
In order to keep our employees as safe as possible, we have implemented additional cleaning in our facility as well as supplying hand sanitizer and masks. In addition all visitors have their temperature checked and are screened per establish Guidelines.

Work Location:
One location
This Job Is:
A job for which military experienced candidates are encouraged to apply
Open to applicants who do not have a college diploma
Company's website:
clearcube.com
Company's Facebook page:
https://www.facebook.com/clearcubetech
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",4.2,"ClearCube Technology, Inc.
4.2","Leander, TX",,1 to 50 Employees,1997,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),
Web/Server Developer,$10-$26 Per Hour(Glassdoor est.),"We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.
Responsibilities*
Ability to learn new technology quickly.
Write well designed, testable, efficient code by using best software development practices
Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases
Gather and refine specifications and requirements based on technical needs
Create and maintain software documentation
Be responsibile for maintaining, expanding, and scaling our site
Stay plugged into emerging technologies/industry trends and apply them into operations and activities
Cooperate with web designers to match visual design intent
Problem solver
Skills*
Familiar with the following technologies:

Web:
PHP
Experience with PHP frameworks, specifically Laravel
JAVA
Python
C#
HTML5
Javascript
jQuery
Windows 10
Linux
Wordpress
Apache
IIS
CSS3
Ability to maintain and/or create WordPress themes and plugins
Experience building user interfaces for web applications
Experience designing and developing responsive design websites
Knowledge of how to interact with RESTful APIs
Understanding code versioning tools, specifically Git
Analytics:
Cognos
Power BI
CRM:
Sugar
Salesforce
SuiteCRM
iSeries:
RPG
DB2
OS/400
Dedication*
Willing to put in the time needed to finish any specific job and see projects thru to completion.

Job Type: Full-time

Pay: From $70,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance
Schedule:
8 hour shift
Location:
Dalton, GA (Required)
Work Location:
One location
Work Remotely:
No",2.0,"Textile Management Associates
2.0","Dalton, GA",,1001 to 5000 Employees,,Company - Private,Wood Product Manufacturing,Manufacturing,Less than $1 million (USD),
